,Product Name,Price,Description,Ratings
148,Panasonic 7 kg Fully Automatic Top Load Grey,"₹18,500",702 RPM Max Speed5 Star Rating2 Years On Product and 10 Years on Motor,4.4
149,Haier 6.5 kg Fully Automatic Top Load Grey,"₹16,070",1000 rpm Max Speed1 Years Warranty on Product and 4 Years on Motor From Haier,3.3
150,Whirlpool 7 kg Fully Automatic Top Load with In-built Heater Black,"₹19,989",740 RPM Max Speed5 Star Rating1 Year Warranty on Unit and 10 Years Warranty on Compressor,4.4
151,Equator 10.2 kg Fully Automatic Top Load Beige,"₹22,990",800 RPM Max Speed4 Star Rating2 Years Warranty on Parts and Labour from Equator,4.2
152,Lloyd 8.5 kg Semi Automatic Top Load Beige,"₹16,625","1300 rpm Max Speed5 Star Rating2 Years Warranty on Product, 5 Years Warranty on Motor",4.3
153,Lloyd 7 kg Fully Automatic Top Load Grey,"₹18,886",680 rpm Max Speed5 Star Rating2 Years Comprehensive on Washing Machine and 10 Years on Motor from Lloyd,5.0
154,Whirlpool 6.5 kg Fully Automatic Top Load with In-built Heater Grey,"₹18,990",740 RPM Max Speed5 Star Rating2 Years Warranty on Product and 10 Years on Motor,4.2
155,"Whirlpool 6 kg Magic Clean 5 Star Semi Automatic Top Load Black, Grey","₹8,990",1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor,3.8
156,"Lloyd 9 kg Semi Automatic Top Load Black, White","₹15,649",750 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years on Motor from Lloyd,4.3
157,"Panasonic 8.5 kg Semi Automatic Top Load Red, White","₹16,210","550 RPM Max Speed5 Star Rating2 YEAR WARRANTY   ,5  YEAR MOTOR",4.281766239306887
158,Feltron 12 kg Semi Automatic Top Load Multicolor,"₹19,990",1500 rpm Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Motor Warranty,4.281766239306887
159,Whirlpool 7.5 kg Fully Automatic Top Load Grey,"₹23,333",740 rpm Max Speed2 Years Comprehensive Warranty and 10 Years Warranty on Motor from Whirlpool,4.281766239306887
160,Whirlpool 6.5 kg Fully Automatic Top Load with In-built Heater Maroon,"₹19,380",740 rpm Max Speed5 Star Rating2 Years Warranty on Product and 10 Years on Motor,4.281766239306887
161,"Lloyd 9 kg Semi Automatic Top Load Red, White","₹15,699",750 rpm Max Speed5 Star Rating2 Years Warranty on Product and 5 Years on Motor,4.281766239306887
162,Lloyd 7 kg Fully Automatic Top Load Grey,"₹19,399",700 RPM Max Speed5 Star Rating2 Years On Product and 10 Years on Motor,4.281766239306887
163,"Godrej 6 kg 5 Star with i-Wash technology Washing Machine Fully Automatic Top Load Black, Grey","₹12,990",720 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Wash Motor,4.281766239306887
164,Whirlpool 7 kg Fully Automatic Top Load with In-built Heater Grey,"₹19,500",740 RPM Max Speed5 Star Rating3 Years Comprehensive Warranty and 10 Years Warranty on Motor and Prime Mover from Whirlpool,4.2817662393068865
165,Lloyd 9 kg Semi Automatic Top Load Silver,"₹15,815","1300 RPM Max Speed5 Star Rating2 years on product, 5 years on motor",4.2817662393068865
166,Panasonic 6.5 kg Fully Automatic Top Load Grey,"₹16,750",550 RPM Max Speed5 Star Rating2 Years On Product and 10 Years on Motor,4.2817662393068865
167,Whirlpool 6 kg Magic Clean 5 Star Fully Automatic Top Load Grey,"₹13,990",740 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Prime Mover and Motor,4.2817662393068865
168,Equator 8 kg Fully Automatic Top Load Beige,"₹19,990",800 RPM Max Speed2 Star Rating2 Years Warranty on Parts and Labour from Equator,4.3
169,LG 7.5 kg Semi Automatic Top Load Maroon,"₹14,290",1300 RPM Max Speed5 Star Rating2 years comprehensive warranty on product and 5 years on wash motor,4.3
170,Khaitan Orfin 8 kg Fully Automatic Top Load with In-built Heater Grey,"₹19,999",1200 RPM Max Speed5 Star Rating2,4.3
171,Equator 10.2 kg Fully Automatic Top Load Beige,"₹22,990",800 RPM Max Speed4 Star Rating2 Years Warranty on Parts and Labour from Equator,4.2
172,Whirlpool 6 kg Magic Clean 5 Star Fully Automatic Top Load Grey,"₹13,990",740 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Prime Mover and Motor,4.4
173,"Haier 6.5 kg 5 Star Oceanus Wave Drum Washing Machine Fully Automatic Top Load Brown, Grey","₹12,990",800 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from Haier,4.2
174,"Haier 7 kg 5 Star Oceanus Wave Drum Washing Machine Fully Automatic Top Load Brown, Grey","₹14,490",800 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from Haier,4.2
175,"Godrej 6 kg 5 Star with i-Wash technology Washing Machine Fully Automatic Top Load Black, Grey","₹12,990",720 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Wash Motor,4.4
176,"SAMSUNG 7 kg Semi Automatic Top Load Grey, Purple","₹10,890",1350 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Motor,4.4
177,"realme TechLife 8.5 kg Semi Automatic Top Load Grey, Black","₹10,690",1400 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor,4.5
178,realme TechLife 7.5 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Grey,"₹13,290",700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Motor,4.2
179,"Whirlpool 6 kg Magic Clean 5 Star Semi Automatic Top Load Black, Grey","₹8,990",1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor,4.4
180,Whirlpool 8.5 kg 5 Star Magic Clean and Faster Drying Semi Automatic Top Load Grey,"₹13,240",1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Wash Motor and Prime Mover,4.5
181,ONIDA 6.5 kg with Hydraulic Soft Close Glass Lid Fully Automatic Top Load Grey,"₹11,990",700 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor by Onida,4.4
182,"LG 8 kg Roller Jet Pulsator, Wind Jet dry, 5 Star rated Semi Automatic Top Load Multicolor","₹14,690","1300 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on product, 5 Years Warranty on Motor",3.9
183,Whirlpool 7.5 kg Fully Automatic Top Load Grey,"₹23,333",740 rpm Max Speed2 Years Comprehensive Warranty and 10 Years Warranty on Motor from Whirlpool,4.4
184,"SAMSUNG 8.5 kg Semi Automatic Top Load Black, Grey","₹13,490",1300 rpm Max Speed5 Star Rating1 Year Comprehensive Warranty on Product,4.3
